用户ID,购买时间,点赞数,回复数,得分,评价时间,护肤水型号,无表情评论
20669409795,2024-02-28 14:31:19,0,0,5,2024-04-07 23:06:27,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),用了一段时间才来评价，产品挺好的，皮肤不那么干了，保湿效果挺好的。能给皮肤补补水后续上妆不卡粉就达到了我的要求。水乳分层用前摇一摇。其他效果用久了在评价吧。
20664196637,2024-03-24 13:00:22,0,0,5,2024-04-06 16:53:20,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),必须是支持檀健次来的呀！价格也美丽。就是遗憾没有新人礼的时候直接整个大套盒。先用的赠送小样，大瓶紧跟上，下次用完继续回购
20733939080,2024-03-07 15:37:23,0,0,5,2024-04-25 19:06:58,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),好这是一个好评模板，因为本大佬不想买一个产品都写好评，所以特地写下这个模板。以前不知道评论可以涨积分，现在才知道好评的重要性，妥妥的，每条都来评论一下，赚京豆，下次还能抵现金用，评论80字以上，可以得到40个京豆，我无论买什么东西，都会把这条评论复制粘贴凑够宇数，这是第n次在网上买东西了，棒棒棒，东西便宜，而且质量好，物美价康，买的放心，用的开心，感觉都买上瘾，买买买，根本停不下来，东西品种多，而且又特别全，划算方便，包装很好，而且没有任何损坏，会一直支持下去的，服务还可以，超级好用，好评，下次再来。
20717074322,2024-04-20 14:15:57,0,0,5,2024-04-21 10:27:48,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),京东的物流没得说，昨天下单今早上就收到货了，还送了三小盒面霜，味道超级好闻，爱了爱了，马上打开用起来！
20750027623,2024-04-15 00:29:14,0,0,5,2024-04-30 00:42:28,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),质量保证，价格优惠力度较大，多次回购商品这个商品超出了我的期待！不仅质量上乘，而且功能齐全，性价比很高。卖家的服务态度也非常好，让我有了愉快的购物体验。
20525469940,2024-02-29 09:35:14,1,0,5,2024-02-29 21:03:33,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),"产品质感：玻璃瓶，所以质感非常好。
适合肤质：油皮，混油皮都可以。还有干皮。
产品香味：淡淡的清香还挺好闻。
使用效果：感觉补水还可以。
补水效果：吸收的比较快，补水效果还可以。
其他特色：佰草集太极水是取古代和现代护肤精华而成，本仙女亲测成分科学有效。太极水中含有近90%的双重发酵精华水，这种发酵精华可以帮助我们的皮肤胶原蛋白再生，修护脆弱肌底，由内而外焕发新生。除此以外，六种太极原液也是佰草集家的当家花旦，又有人参又有灵芝，还有烟酰胺和白藜芦醇等网红成分一瓶打包，简直是精华水中的最高配置，感觉用这一瓶来进行日常护肤维稳就够了"
20495726700,2024-02-03 11:43:08,2,1,5,2024-02-21 14:36:10,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),产品质感：不是很稀的质感，里面有小小的油性颗粒气泡，擦脸挺好的，之前买过小瓶，挺好用的，现在换一个大瓶，送了两个小瓶的水和一个小瓶的霜，过年小瓶的刚好带回去用。挺喜欢的，国货现在很好。
20525817455,2024-01-28 17:06:29,1,1,5,2024-02-29 22:33:26,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),"最近爽肤水用完了，对比了好几家，最终选了佰草集
发货极快，还送了很多小样
价格也很美丽
已经用了几次，目前的使用感受，很清爽，不油腻，保湿效果也不错，而且有股淡淡地莲子清香(比神仙水好闻多了)"
20483102471,2024-02-16 21:56:14,0,0,5,2024-02-17 13:50:32,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),秋天买了个白茶的乳液，冬天又买了个白茶的霜，昨天再买个水，这下配齐了！还差个眼霜，呵呵。送了张面膜。这个套装不油腻，很平淡，天热用着也不出油，挺好的，香味淡雅，闻着很舒服。
20507251387,2024-02-19 11:37:56,0,0,5,2024-02-24 22:05:44,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),一直想买一款啫喱质地的水，但是兰蔻粉水用了长痘，日本产的现在也不放心了，终于刷到这一款，质地介于水和啫喱之间，很容易涂抹，清爽，特别容易吸收，不油腻，气味特别好闻，很清新，可以买正装用了
20498113077,2023-12-24 10:37:05,0,0,5,2024-02-22 09:56:01,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),首先说一下我自己的肤质，冬季干敏皮 非常干！！！我本来用薇诺娜喷雾➕源力精华➕源力面霜的，但是冬天这样好干，现在把喷雾替换成双石斛水之后就很保湿，也不油腻！推荐大家使用！
20605976920,2024-02-15 11:22:35,0,0,5,2024-03-21 19:29:02,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),之前一直用日本护肤品，正好在某书上刷到伯草集，想着先买瓶试用一下，液体是一堆小泡泡，感觉颜值好高级，上脸很容易涂抹，也很好吸收，不油腻，气味也是我喜欢的，晚上基本上都是用这款，国货真棒
20493694027,2024-02-19 15:06:39,0,0,5,2024-02-20 20:55:03,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),满满一大瓶，份量杠杠的！一直用佰草集家的护肤品，换着类别用的，这次囤的这款爽肤水，外观颜值还是很 ok 的！还送了三件试用小样，哈哈哈，可以留着慢慢用啦！ 下次再试一试其他的产品(⁎⁍̴̛ᴗ⁍̴̛⁎)
20519110885,2024-01-11 10:55:37,0,0,5,2024-02-28 10:28:51,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),佰草集，国民品牌用了好多瓶了，白茶系列这是第二次购买很喜欢它的盖子上的那片小叶子。很形象，香味清淡，很好闻。每次送的试用装很好用。随身携带很方便。
20525849989,2024-01-19 22:37:01,0,0,5,2024-02-29 22:42:00,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),瓶子很高大上，看着就喜欢，水油混合的，本来担心会不会太油了，结果用着一点都不油，很水润，保湿效果很好，价钱合理，会继续购买的！
20474893665,2023-12-16 02:07:56,0,1,5,2024-02-13 16:19:02,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),"产品质感：国货真的崛起了，产品包装质感拉满，完全不输欧美日韩大牌
产品香味：淡香，比较好，就是不喜欢护肤品搞出什么香味破坏产品质感
适合肤质：买啵啵水是想取代神仙水的，目前看起来替换爽肤水没有问题，神仙水还是可以继续薄薄的拍一点
使用效果：之前一直迷思大牌，最近开始不断尝试国产产品替换日系产品，用了太极系列的各种产品，整体使用效果还不错。"
20493914874,2024-02-16 22:47:50,0,0,5,2024-02-20 21:58:38,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),"作为一名消费者，我最近尝试了这款佰草集的太极水肤感产品。在使用过程中，我发现了一些值得分享的体验和优点。

首先，这款产品的质地非常轻盈，涂抹在皮肤上感觉非常清爽。它能够迅速被肌肤吸收，让我感觉到皮肤得到了很好的保湿效果。此外，它的香气非常淡雅，不会让人感到刺鼻或过于浓烈。

在使用了一段时间后，我发现这款太极水肤感确实能够改善我的肌肤状况。我的皮肤看起来更加明亮有光泽，同时也感觉更加柔软舒适。我觉得这款产品对于那些希望改善肌肤状况的消费者来说是一个不错的选择。

总体来说，我对这款佰草集的太极水肤感产品感到非常满意。它不仅具有优秀的保湿效果，而且使用起来非常舒适。我会向我的朋友们推荐这款产品，但同时也建议大家在购买前先做好研究，以确保它适合自己的肌肤需求。"
20547795336,2024-03-03 17:00:17,0,0,5,2024-03-06 13:18:39,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),先是买了体验装，感觉特别适合我，我不喜欢水状的lotion，喜欢啫喱状的，用着方便，兰蔻那个太滋润了，所以一直找到没有合适的，佰草集这款刚刚好，容易涂抹，味道清清爽爽的，很好，混皮可以放心用
20518531268,2024-02-26 21:37:52,0,0,5,2024-02-28 05:57:45,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),宝贝收到后，打开包装，真是眼前一亮，包装高端大气上档次，液体好像一堆小泡泡，感觉非常好，上脸效果也是很不错的，性价比很高，味道淡淡的香气可以接受，总之是一款非常值得入手的产品。
15300265031,2021-02-04 20:04:05,0,1,3,2021-02-06 20:31:47,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),还有一年就要过期了 还是去实体店买吧 起码日期新鲜
20559769774,2024-03-07 22:39:38,0,0,5,2024-03-09 13:29:34,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),产品日期很好很新，产品之前用的小样用着还不错，这次决定买正品，大瓶觉得会更好玻璃瓶装，安全卫生，大品牌值得信赖，喜欢佰草集配色。
20529825903,2024-02-03 21:55:46,0,0,5,2024-03-01 22:52:32,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),"一直用佰草集的东西，感觉非常不错。
和商场比起来还是要便宜一些。
我比较喜欢清爽的感觉，新七白这个就很适合我，搽在脸上感觉嫩嫩的。"
20535389506,2024-02-29 19:06:40,0,0,5,2024-03-03 13:09:04,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),"之前用过小样，感觉很不错。这下正品加8个小样可以用好久。
适合肤质：混合肌肤

使用效果：挺好的，用的还蛮保湿。第1次被国货惊艳到了。这个价位相当值。"
20493764265,2023-12-23 19:46:44,0,0,5,2024-02-20 21:12:52,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),"很喜欢佰草集产品
用过许多产品
觉得非常好
会继续回购
买了许多次了产品了
面膜，洁面，卸妆油，都买了
大品牌，还是值得信赖的"
20480981869,2024-02-06 22:07:07,0,0,5,2024-02-16 16:20:55,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),真的超级棒吵架棒！比实体实惠！用着特别好用！保湿效果特别好！太棒了！对比了好久，才选折了这个，味道也是很淡很淡，基本没味道！真的推荐推荐！
20524982614,2024-02-17 10:48:28,0,0,5,2024-02-29 19:14:01,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),佰草集，老国货品牌用的放心，包装升级更好看了，开春买来给皮肤补水救急！购物一直在京东平台，品质有保障物流有保障，快递小哥很nice
20532205201,2024-02-15 22:25:45,0,0,5,2024-03-02 16:32:17,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),京东自营，正品有保障，这是第N次在网上买东西了，棒棒棒，东西便宜而且质量好，物美价廉，买的放心，用的开心，感觉都买上瘾了，买买买，根本停不下来，东西种类多而且又特别全，划算方便，而且实惠，包装很好，而且没有任何损坏，会一直支持下去的，服务还可以，非常好用！
20652414566,2024-03-28 10:10:57,0,0,5,2024-04-03 09:27:40,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),很好看的外包装，水乳套装。水是塑料瓶的，乳是陶瓷瓶的。手感很舒服。水不是那种很细的，有淡淡香味。乳也是比较粘稠的，挤一点点就够了。淡淡香味。不油腻，很舒服。颜色也很好看，油腻皮肤很适合！!!
20594834116,2024-03-17 16:11:35,0,0,5,2024-03-18 19:22:54,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),"产品质感：真的很好用，对商品非常满意，属于无限回购款，推荐！
适合肤质：混油皮
产品香味：味道高级
使用效果：抗初老维稳超级好
补水效果：补水效果棒棒的
其他特色：性价比超级高的一款水"
20485003487,2024-01-24 13:49:29,0,0,5,2024-02-18 09:04:50,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),收到用了好一段时间，才来评价的，买之前对比了好多家，最后选择了佰草集这款水，分层设计，用之前摇一摇，水和像乳液质地的产品混合之后，倒出来奶白色的，轻拍脸部快速吸收，感觉是不油腻也滋润，基本没味道! 瓶子的设计也很清新，我是干皮，用了这段时间，觉得保湿效果不错，很不错的国货护肤品，又有草药成分，用起来安全放心，效果也不错，很适合这个季节使用，还送了试用装的乳，霜，很喜欢，下次再来买，真的推荐!
20591594603,2024-01-18 20:37:17,0,0,5,2024-03-17 21:46:11,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),好大一瓶，200ml容量。里面的液体很浓。没有浓郁的香气，适合对气味敏感的人。买了一瓶还配了2瓶30ml的小样，外出携带也方便。
20514116809,2024-02-17 23:10:54,0,0,5,2024-02-26 20:41:38,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),在朋友家用过一次，感觉还不错，味道清淡，上脸不粘腻，用着很舒服，就在京东上下单了，很大一瓶，超实惠！
20527617944,2024-02-29 10:43:33,0,0,5,2024-03-01 13:34:39,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),佰草集太极肌源修护精华水，妥妥的国货之光！性价比很高，淡淡的味道，不油腻好吸收！0.01元加购的30毫升小样，太值了！正装包装大气，上档次！日期新鲜，京东自营店铺购买，隔日送达！
20577277423,2024-02-16 23:14:30,0,0,5,2024-03-13 22:27:08,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),之前在店里专柜买过一次，很好用呢&hellip;&hellip;专柜还是要柜些？这次网上买的也是一样的，好用清爽，一点都不油腻，夏天也可以用&hellip;&hellip;真的好用。又滋润g
20578783746,2024-03-13 16:17:47,0,0,5,2024-03-14 12:39:26,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),这是我妹推荐的，说平价好用，适合大干皮。味道非常好闻，一点都不刺激，淡淡的草本的香气。产品包装漂亮，日期也很新，还送了一大堆赠品，赠品的品质和日期都很有保障。期待效果。
20562473617,2024-03-08 21:59:08,0,0,5,2024-03-10 08:19:40,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),产品质感清爽不油腻，我是敏感肌，也特别好用，没有任何刺激，补水效果特别好，特别适合我这种干敏皮，会再回购的
20636960280,2024-03-14 17:08:32,0,0,5,2024-03-30 06:38:37,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),"本人混合肌，很容易冒痘，用过各种牌子，包括所谓大牌，一直没找到特别适合的，不是油***要不然冒痘，好难。
佰草集新玉源系列其实本来买给妈妈的，无意用了次发现上脸很舒服，在某次皮肤不稳定情况下买了一套（用水比较多），皮肤现在很稳定，不油不干不冒痘，这已经是完美。目前第二套
非常推荐
Ps:霜之前搭配的sk2"
20540383336,2024-02-26 22:05:45,0,0,5,2024-03-04 16:38:57,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),我是脸颊泛红，用这个就不会过敏了，涂上去很舒服，没有任何的不适。佰草集的原料据说用的都是很好的，打算后面买点乳业用用。
20527602607,2024-02-29 10:43:33,0,0,5,2024-03-01 13:31:50,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),这款佰草集太极肌源修护精华水，妥妥的国货之光！包装高端大气上档次，这次有活动赠了很多小样，买一送一吧！性价比很高，试用了一下，淡淡的味道，不油腻，好吸收，不错！产品日期很新鲜，放心购买！京东自营店铺购买，隔日送达，体验感很好！
20626003570,2024-03-20 20:27:18,0,0,5,2024-03-27 08:59:20,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),买3.0大白然后0.01元购的啵啵水，颗粒状精华肉眼可见！这个品牌每个系列产品都特别好用！还是建议成套用起来，效果更好！京东送货到家，满意！
20633736550,2024-02-01 15:48:07,0,0,5,2024-03-29 09:33:32,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),第一次尝试用国产品牌的化妆水，也是看了各种评价和推荐，最终决定尝试一下这款，用了一段时间，整体感觉还不错，个人感觉稍微有点稠，但在春季还是可以的，用完皮肤感觉也很舒服，持续用完再看看效果
17336975113,2022-04-04 18:06:24,0,1,3,2022-04-06 14:32:53,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),用着还行，感觉稍有点贵。包装好看
20516890622,2024-02-25 08:58:19,0,0,5,2024-02-27 16:55:06,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),太划算了，很保湿！这个真的太了，包装很精美，宝贝做工比较精细，商家特别好❤，有问题都及时处理，确实是一次相当满意的网购，还会再来的
20626928183,2024-03-24 16:07:01,0,0,5,2024-03-27 12:39:18,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),爽肤水比较清新，适合油皮使用，夏天用也不会油腻。快递运输很快，包装完整，我用了0·01换购了一个小样，总体来说加在一起比较实惠。
20468792659,2024-01-16 01:12:22,0,0,5,2024-02-08 23:35:56,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),白茶系列很好用，无论是化妆水，精华液还是面霜，晚上用红茶，双倍保湿，眼霜我喜欢用啵啵那款，感觉滋润度更好，佰草集的产品价格能接受，用多了也不心疼
20481350960,2024-02-13 11:17:18,0,0,5,2024-02-16 18:53:23,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),一直用佰草集，皮肤特别好，品牌值得信赖。这次还有赠品，物超所值，值得购买！我身边的朋友都是我推荐用的佰草集，她们都说好，价格也实惠，你值得拥有！
20636245145,2024-03-28 20:45:27,0,0,5,2024-03-29 21:14:38,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),这个牌子已经是买了有好几年了，一直是用这个品牌的爽肤水，图了后皮肤不紧绷细腻光华变嫩白，价格也是很美丽，每次等有活动就下手囤一瓶，物流小哥也是超级给力，送货到家。确实好，谁买谁知道！
20626285358,2024-03-22 22:46:35,0,0,5,2024-03-27 10:11:30,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),一直用这个。  很好。    很合适。  性价比高。  不错。                                    棒棒哒。   还会再来的回购。     嗯嗯。
20644061370,2024-03-29 10:01:50,0,0,5,2024-03-31 23:41:44,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),京东忠实粉，plus客服小姐姐太棒啦，解决事情极快，忘记参加0.01加购活动，后面找客服马上就帮忙免费补发啦～最喜欢京东，处理时间及其有效率！赞赞赞，plus会员必须续费！
20596071538,2024-02-15 21:48:38,0,0,5,2024-03-19 07:45:48,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),大瓶的没有拍照片，但是玻璃瓶很有分量，真的是非常漂亮，颜色看着就很清新，里面看起来有很多微气泡，我是混油肤质，在广东用着也不错，很清爽，不油腻，第一次使用国货，感觉非常不错 这个商品真是物超所值！质量很好，价格也合理。卖家的服务态度也很好，及时回复我的问题，并提供了详细的产品信息。
20534520089,2024-02-29 12:35:04,0,0,5,2024-03-03 09:51:03,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),"一如既往的好品质，非常喜欢的一款产品，非常棒！o(*￣︶￣*)o
正品，买的放心，价格也很实惠，发货速度快，物流也很快"
20614159953,2024-03-18 10:06:19,0,0,5,2024-03-24 06:02:48,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),"产品质感：产品质感很温和
适合肤质：适合所有肤质 本人混合肤质
产品香味：产品味道很自然 没有刺鼻的味道 很好
使用效果：使用效果很不错 补水
补水效果：补水效果很不错
其他特色：外观很特别"
20657061312,2024-03-27 21:28:21,0,0,5,2024-04-04 15:25:02,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),佰草集太极肌源修护精华啵啵水30ml，体验装也能感受大牌品质！这款精华水清爽滋润，易吸收，让肌肤舒适舒缓。含有丰富的草本成分，修护肌肤问题，提升肌肤自我修复能力。用后肌肤焕发青春活力，国产护肤品的骄傲！强烈推荐！
20542418108,2024-01-26 14:37:14,0,0,5,2024-03-05 07:35:13,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),送的小样 这瓶精华水蛮好用的 保湿效果超赞 开始我买的某然堂的水 拔干 佰草集的水感觉有一层油膜 可以锁住水分 但是送的面霜 死难用 而且有一股口臭味
20652625674,2024-03-12 18:28:57,0,0,5,2024-04-03 10:24:47,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),这款是回购款，佰草集能做出这样的肤感还是不错的，整个冬天使用不会觉得皮肤干燥，但是一定要坚持早晚都擦，更推荐混油或油性皮肤使用。
20486712628,2024-02-14 09:18:41,0,0,5,2024-02-18 18:02:37,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),佰草集啵啵水第一次用，清爽舒服，很适合冬日的皮肤。就是瓶口的设计不是很得我心意，总是要倒出来后再搓一下，有点点鸡肋，味道和上脸感受很好。点赞。
20500660543,2024-02-20 22:26:49,0,0,5,2024-02-22 21:46:14,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),物流很快，头天晚上下单第二天上午就收到了。送了两瓶水的小样和一瓶面霜小样，正在用水的小样，质地稍微有点粘稠，但是这个季节上脸还是很容易吸收，好用
20622499725,2024-03-24 11:05:52,0,0,5,2024-03-26 10:21:54,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),支持檀健次来一波下单，也没有用过，不知道怎么样！看网上大家都在推，这次买一次，看看怎么样，好用以后就全心全意支持国货了！
20580793975,2024-03-11 17:54:37,0,0,5,2024-03-14 21:38:04,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),之前用的神仙水，这次想找一款性价比高的平替产品，这款啵啵水深得我心，质地不是很粘稠，味道是淡淡的清香，非常滋润，毕竟也是老国货了，值得信耐；瓶身也设计得非常高级，不比大牌差，以后会继续回购✌️
20634659874,2024-03-08 08:55:54,0,0,5,2024-03-29 13:56:30,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),本人是敏感肌，不敢乱用护肤品，但是檀健次代言了必须得买来试试，真的出乎我的预料，完全不过敏，而且用了之后皮肤摸起来很细腻，果然檀健次严选，以后防晒，精华都要换成佰草集啦，最后代言人好帅
20487118726,2024-02-14 00:15:23,0,0,5,2024-02-18 20:14:04,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),没有想到他是乳白色的液体，黏稠度比较合适但不是特别清爽那挂的，吸收起来还挺快，每次倒出的量比较少，需要倒好几次摸完全脸
20565390985,2024-03-01 15:44:45,0,0,5,2024-03-10 20:36:25,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),好久都听说过佰草集，但是一直没用过，看了这款啵啵水，功效适合我，就入手了，先用了小样，大包装还没打开，效果不错，适合我的皮肤，准备入手一套了
20324846767,2023-12-14 03:46:29,1,1,5,2024-01-04 00:08:45,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),使用效果：本人是轻度敏感肌肤，用这个熬夜面膜是真心很好用，很补水，当天晚上用，第二天出门前，都不用补面膜在上妆了～
20254516861,2023-12-13 14:18:37,1,0,5,2023-12-16 11:26:59,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),我是干性皮肤，第一次用啵啵水，上脸后觉得特别滋润，也不会感觉油腻。味道也特别好闻，没有特别刺激的香味，很温和。这个水看着里面好像有好多小水珠，涂上去之后很快就吸收了。并且赠送了好多小样，以后应该会无限回购的。
20208921499,2023-11-05 20:00:17,1,0,5,2023-12-03 19:05:23,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),"佰草集太极肌源修护精华水
这款是啵啵水的小样，但是30ml容量特别合适，无论是放包里日常备用，还是外出旅游携带都不错。而且这款小样选用的包材也不错，质感在线！
质地上很神奇，上脸的肤感清爽又保湿，吸收很快很舒服，用完再抹别的也不会发粘！
效果方面我用过很多了，真的是润物细无声路线，用着保湿舒缓，很舒服。"
